x-axis,MATH
Hertz,dBV
+2.520000E+03,-59.87875E+00
+2.525000E+03,-57.01719E+00
+2.530000E+03,-55.04906E+00
+2.535000E+03,-54.21250E+00
+2.540000E+03,-54.63750E+00
+2.545000E+03,-56.22313E+00
+2.550000E+03,-58.66250E+00
+2.555000E+03,-61.71531E+00
+2.560000E+03,-65.77781E+00
+2.565000E+03,-72.87125E+00
+2.570000E+03,-75.07000E+00
+2.575000E+03,-64.76250E+00
+2.580000E+03,-60.66250E+00
+2.585000E+03,-58.59719E+00
+2.590000E+03,-57.49281E+00
+2.595000E+03,-57.28000E+00
+2.600000E+03,-58.20625E+00
+2.605000E+03,-60.85344E+00
+2.610000E+03,-65.13781E+00
+2.615000E+03,-70.26406E+00
+2.620000E+03,-71.81906E+00
+2.625000E+03,-70.07031E+00
+2.630000E+03,-69.37969E+00
+2.635000E+03,-69.98469E+00
+2.640000E+03,-68.69844E+00
+2.645000E+03,-65.40125E+00
+2.650000E+03,-63.31250E+00
+2.655000E+03,-62.87156E+00
+2.660000E+03,-62.88156E+00
+2.665000E+03,-61.96250E+00
+2.670000E+03,-59.99750E+00
+2.675000E+03,-57.96875E+00
+2.680000E+03,-56.61000E+00
+2.685000E+03,-55.92500E+00
+2.690000E+03,-56.25125E+00
+2.695000E+03,-56.72781E+00
+2.700000E+03,-57.32031E+00
+2.705000E+03,-58.80438E+00
+2.710000E+03,-60.53594E+00
+2.715000E+03,-64.22094E+00
+2.720000E+03,-70.51250E+00
+2.725000E+03,-75.44375E+00
+2.730000E+03,-70.64375E+00
+2.735000E+03,-70.76875E+00
+2.740000E+03,-72.43844E+00
+2.745000E+03,-70.00781E+00
+2.750000E+03,-67.93750E+00
+2.755000E+03,-66.34750E+00
+2.760000E+03,-67.44938E+00
+2.765000E+03,-68.60313E+00
+2.770000E+03,-69.35094E+00
+2.775000E+03,-67.98594E+00
+2.780000E+03,-67.65250E+00
+2.785000E+03,-67.99688E+00
+2.790000E+03,-69.50500E+00
+2.795000E+03,-68.91500E+00
+2.800000E+03,-65.57812E+00
+2.805000E+03,-62.52312E+00
+2.810000E+03,-60.10062E+00
+2.815000E+03,-58.78063E+00
+2.820000E+03,-57.97688E+00
+2.825000E+03,-57.42500E+00
+2.830000E+03,-56.93969E+00
+2.835000E+03,-56.72719E+00
+2.840000E+03,-57.30094E+00
+2.845000E+03,-58.36031E+00
+2.850000E+03,-58.69688E+00
+2.855000E+03,-58.25938E+00
+2.860000E+03,-57.43188E+00
+2.865000E+03,-56.89375E+00
+2.870000E+03,-56.43313E+00
+2.875000E+03,-56.29688E+00
+2.880000E+03,-56.32125E+00
+2.885000E+03,-56.29500E+00
+2.890000E+03,-55.77813E+00
+2.895000E+03,-55.17813E+00
+2.900000E+03,-54.97344E+00
+2.905000E+03,-55.25594E+00
+2.910000E+03,-55.84063E+00
+2.915000E+03,-57.33187E+00
+2.920000E+03,-60.05344E+00
+2.925000E+03,-66.12500E+00
+2.930000E+03,-74.68250E+00
+2.935000E+03,-65.11813E+00
+2.940000E+03,-61.20438E+00
+2.945000E+03,-58.76656E+00
+2.950000E+03,-57.32031E+00
+2.955000E+03,-57.08563E+00
+2.960000E+03,-57.87375E+00
+2.965000E+03,-59.90406E+00
+2.970000E+03,-63.02406E+00
+2.975000E+03,-67.37656E+00
+2.980000E+03,-70.70094E+00
+2.985000E+03,-71.32094E+00
+2.990000E+03,-69.04594E+00
+2.995000E+03,-65.30031E+00
+3.000000E+03,-63.00781E+00
+3.005000E+03,-61.55438E+00
+3.010000E+03,-60.24438E+00
+3.015000E+03,-58.49313E+00
+3.020000E+03,-57.27000E+00
+3.025000E+03,-56.96250E+00
+3.030000E+03,-58.16500E+00
+3.035000E+03,-60.78156E+00
+3.040000E+03,-63.14281E+00
+3.045000E+03,-63.34688E+00
+3.050000E+03,-61.89688E+00
